document,summary
"b'the total tax revenue of china reached #### billion yuan in #### , ###.# billion yuan more than that of the previous year .'","b""china 's tax revenue reach #### billion yuan in ####"""
"b""poland 's ruling party named on saturday parliament speaker bronislaw komorowski as its candidate in the presidential election due this autumn .""",b'polish ruling party names parliament speaker as presidential candidate'
"b""hungary 's new president pal schmitt , a close ally of premier viktor orban , took office formally on friday , becoming the country 's fourth president since the fall of the iron curtain .""","b""hungary 's new president pal schmitt takes office"""
"b""the highest court in the european union ruled wednesday that germany 's efforts to protect state-run gambling monopolies were illegal .""",b'court rejects german gambling restrictions'
"b'north korea has agreed to declare all its nuclear programs and disable its main atomic reactor by the end of the year under us supervision , according to a six-nation agreement released wednesday .'",b'nkorea agrees to declare disable nuclear programs'
"b'a karate instructor used the promise of riches to lure a group of armed men dressed as ninjas to rob and kill a wealthy florida couple while their nine special-needs children cowered or slept nearby , jurors concluded thursday .'",b'ringleader guilty in wealthy us couple s killing'
"b""anaheim coach craig hartsburg does n't expect the mighty ducks to get too giddy over their modest winning streak .""",b'mighty ducks # islanders #'
b'four consecutive nights of unrest across northern ireland following the release of a british soldier convicted of murdering a roman catholic girl have put prisoners at the forefront of peace talks .',b'fourth night of violence clouds nireland peace process'
"b'admiral jeremy boorda , chief of naval operations , apparently killed himself thursday over the legitimacy of his wearing of two vietnam combat decorations .'",b'navy chief suicides over legitimacy of medals'
b'pakistani health officials said wednesday they would have to use dna tests to identify charred bodies plucked from the wreckage of an airliner that crashed into hills outside islamabad .',b'pakistan to use dna tests to identify crash victims'
"b""president viktor yushchenko said tuesday that only the courts can rule on the legitimacy of the privatization of ukraine 's largest steel mill _ a deal that has come under intense government scrutiny .""","b""ukrainian president says only courts will consider the privatization of ukraine 's largest steel mill"""
b'the united states on friday lifted sanctions against countries that refused to sign a deal over the international criminal court because of their support for the us war in iraq and afghanistan .',b'us exempts east european nations from international court sanctions'
"b'two concourses at detroit metropolitan airport were evacuated wednesday after a passenger set off a metal detector at a security checkpoint , then walked away before he could be UNK , an airport spokesman said .'",b'security breach at detroit airport leads to evacuation of two'
"b'asia is the most disaster prone region in the world and governments must develop a culture of preparedness for calamities , experts at a conference here said wednesday .'",b'asia told to develop culture of preparedness against disasters'
b'british prime minister tony blair said wednesday that western countries will likely seek economic sanctions against iran after it restarted uranium enrichment research .',b'blair says push for sanctions likely as iran shrugs off threat vows to continue nuclear program'
"b""the top republican on the senate armed services committee sought to weaken support for a resolution opposing u.s. president george w. bush 's iraq war strategy , saying proponents are intellectually dishonest .""",b'senator blasts iraq resolution as vote of no confidence in u.s. troops'
"b""as he has throughout the season , lakers forward lamar odom took a deferential tone when talking about kobe bryant in the locker room after thursday 's game .""",b'bryant injury forces shuffle'
"b'andre agassi took the simplest path to the third round , losing just one game in his second match at the australian open .'",b'agassi venus williams easily advance ; fish upsets moya'
"b""as heavy-weight multinationals strive to enlarge their investment in the pudong new district of this east china 's metropolis , local software parks , bonded areas and industrial belts vie to expand their land area to meet the growing demand .""","b""overall expansion for shanghai 's high-tech parks"""
"b'a federal judge has drastically trimmed a $ ###,### verdict against a boston university graduate student who was found guilty of illegally downloading and sharing songs online .'",b'us judge cuts penalty in song-sharing case'
"b""as of wednesday night , the mariners still had n't let randy johnson slip through their fingers .""",b'johnson trade talks heat up as mariners go cool'
"b'a passenger train collided with a freight train in northern italy in heavy fog , killing at least ## people and injuring dozens , rescue officials said .'",b'head-on train collision in northern italy kills ## officials say'
"b'sobbing and holding each other up , relatives of the ### people killed in a charter jet crash UNK their loved ones thursday in an open-air tent facing the waters of the red sea where the plane went down .'",b'french UNK families mourn those who died in red sea charter plane UNK'
"b""london stocks traded modestly higher in the first part of the wednesday morning session , while paris stocks slipped slightly in the early part of the current trading month 's last session .""",b'london stocks up in morning paris bourse off slightly'
"b'australian share prices closed down one percent wednesday after national australia bank fell badly following a surprise profit warning , dealers said .'",b'australian shares down as nab profit warning drags on market'
"b'john wayne , bob marley , steve mcqueen and peter jennings .'",b'jennings death points to dangers of smoking'
"b""stock prices closed higher for the third consecutive day in tokyo friday as the afternoon news report that the struggling long-term credit bank of japan -lrb- ltcb -rrb- would merge with sumitomo trust and banking co. revitalized the market at the last minute of the day 's session .""",b'tokyo share prices continue rising on bank merger news'
"b'as congress debates new rules for government eavesdropping , a top intelligence official says it is time that people in the united states changed their definition of privacy .'",b'intelligence official says people need to redefine privacy adjust to loss of anonymity'
b'the european union invited ## new members to join it friday in a historic opening to the former communist east designed to reunite the continent after decades of cold war division .',b'eu invites ## new members to join historic expansion into former east bloc'
"b'for yasser arafat , the israeli siege of his ramallah headquarters has become a way of life .'",b'for palestinian leader life under siege has become routine'
"b""former playboy model anna nicole smith won a victory as a bankruptcy judge voided a texas court 's decision that had declared her ineligible for a dlrs ### million inheritance .""",b'bankruptcy judge voids ruling denying anna nicole smith dlrs ###'
b'aid officials are expressing increasing concern over widening food shortages and hunger in the isolated stalinist state of north korea .',b'n. korea erects obstacles to famine relief'
"b""brazilian president fernando henrique cardoso declared here on monday the creation of his country 's national anti-drug secretariat .""",b'brazil creates national anti-drug secretariat'
b'the national organization for women picketed congress wednesday to urge the defeat of two anti-gay legislative proposals that the now president criticized as political gimmicks designed to energize conservative republican voters .',"b""women 's group pickets congress to urge defeat of anti-gay bills"""
"b'armed with guns , cell phones and night-vision scopes , some of the property owners for months have been rounding up ## to ## border crossers a night and turning them over to u.s. border patrol officials .'",b'ranchers officials at'
"b""serbia 's interior minister says authorities are raising security measures to the highest level for the upcoming visit by u.s. vice president joe biden .""",b'serbia increases security for biden visit'
"b'president clinton swooped down on california thursday both bearing and seeking gifts , offering a daytime dollop of new federal money to help communities start innovative schools and raising a nighttime nest egg for the democratic party with a little help from the stars .'",b'clinton brings federal funds to california and raises campaign'
"b""clermont 's french internationals olivier magne and UNK rougerie will miss this weekend 's european UNK game with borders after picking up injuries in france 's ##-# loss to new zealand .""","b""clermont 's magne rougerie to miss borders match"""
b'asian share prices lost ground monday after a weak performance on wall street late last week .',b'asian stocks lose ground after wall st falls'
b'lithuanian prime minister algirdas brazauskas recommended on monday that president rolandas paksas resign after a committee report said he posed a threat to state security .',b'lithuanian prime minister recommends paksas resignation'
"b'a court in southern russia sentenced ultranationalist writer eduard limonov to four years in prison on tuesday for illegal acquisition and possession of weapons , a court spokesman said .'",b'russian court sentences ultranationalist writer to prison'
"b""right in the middle of sizzling scenes of `` the sexy neighbor , '' the roof caved in on customers at a mexico city porn cinema , injuring seven thoroughly surprised people .""",b'roof caves in on blue moviegoers'
"b""washington mutual says it lost more than $ # billion -lrb- euro### million -rrb- in the first quarter as the struggling economy and flagging real estate values pummeled the bank 's borrowers .""",b'washington mutual swings to $ #.# billion loss in #st quarter as bad loan provision doubles'
b'borussia dortmund canceled the contract of troublesome brazilian striker marcio amoroso on thursday .',b'dortmund cancel amoroso contract'
"b""mohammad aldouri , iraq 's ambassador to the united nations , was en route back to the middle east early saturday , after stating his hopes for a new relationship between iraq and the united states .""","b""UNK leaves us but says for time being he is iraq 's legal un rep"""
"b'john nash , who served as general manager with three other national basketball association clubs , was given the task of cleaning up the portland trail blazers here on wednesday .'","b""new warden tries to clean up nba 's jail blazers"""
"b'leftist rebels freed a retired exxon executive in central mountains on his ##th birthday sunday , more than five months after he was kidnapped at his ranch near bogota .'",b'colombian rebels free retired u.s. oil executive after #-month'
"b""all farmers in jiangsu , china 's largest economic province , will be drinking clean water by the end of the century .""",b'more farmers in jiangsu drink clean water'
"b""israel 's foreign minister said wednesday that a hamas-led palestinian government could be designated a terrorist state , subject to sanctions , if it does not renounce terrorism and recognize israel .""",b'israeli diplomat says no remittances to hamas government'
b'fire has destroyed a silicon valley building caught up in a court fight over whether the one-time ibm lab where engineers invented a forerunner of the modern hard drive should be preserved as a landmark .',b'blaze destroys historic ibm lab in san jose where researchers invented early hard drive'
"b""vestas a\\/s , the world 's biggest maker of wind turbines , posted a ## percent rise in first-quarter earnings but said it would lay off #,### workers , primarily in denmark and britian , because of sluggish demand in northern europe .""","b'vestas posts higher profits to cut #,### jobs'"
"b""the parents of a yonkers , n.y. , boy who choked to death on a pokemon ball filed a federal lawsuit against the toy 's maker and distributor on friday , two days after the opening of a movie about the popular game .""",b'parents sue over death of child who choked on pokemon toy'
"b""a list of sports illustrated 's sportsmen and sportswomen of the year , including #### award winner dean smith .""",b'list of sports illustrated sportsmen sportswomen of the year'
"b'a number of georgian scientists , including nuclear physicists and aircraft engineers , are working in iran on private contracts that have not been authorized by the government of the ex-soviet republic , georgian president eduard shevardnadze said monday .'",b'shevardnadze says georgian scientists work in iran'
"b""the economy of china 's hainan province has finally improved after a decade of economic ups and downs and bottoming out and local people have become more sober-minded after paying dearly for their shortsightedness .""",b'chinese island province doing better after several years of failure'
"b'for years , the family comedy , among the oldest staples of network television , has been looked upon as a creaky relic in a state of permanent decline .'",b'family sitcoms dominate the network hits'
"b""finance minister hans eichel cast doubt tuesday over the government 's growth forecast for germany this year and #### , as a leading institute said europe 's biggest economy was in crisis .""",b'eichel casts doubt over german growth'
b'china says the country will continue to push domestic consumption next year to keep its economy growing .',b'china says it will continue to push consumption'
"b'bank of america on friday announced a steeper-than-expected net loss of #.# billion dollars in the third quarter , linked to hefty writedowns of assets from merrill lynch and other charges .'",b'bank of america reports #.#-billion-dollar loss in quarter'
"b""alex ferguson is n't about to begin his ##st year as manager of manchester united by risking a loss against the last-placed team in the division below the premier league .""",b'ferguson starts ##st year as man united manager against UNK southend'
b'visiting south african president nelson mandela today said that his country favored a solution to the disputed kashmir issue on bilateral basis between india and pakistan .',b'south african president on kashmir issue'
"b""`` we are preparing to sign , during the president 's visit , an agreement on the peaceful use of nuclear energy and various issues related to the same , '' russian vice premier UNK klebanov told reporters after a meeting with information technology minister pramod mahajan here wednesday .""",b'india russia to ink pact on peaceful use of nuclear energy'
"b'a new labor code went into force in russia on friday , russian vice-premier valentina matviyenko told journalists here .'",b'russia enacts new labor law'
"b""an ###-carat diamond from the democratic republic of congo -lrb- drc -rrb- has been sold illegally for ## million dollars in belgium , the central african country 's mining ministry said on monday .""",b'dr congo diamond sold illegally in belgium for ## million dollars'
b'companies that were sued over contaminated pet food linked to the deaths of perhaps thousands of dogs and cats have agreed to pay $ ## million -lrb- euro## .## million -rrb- to pet owners in the united states and canada .',b'makers sellers of contaminated pet food agree to $ ## million lawsuit settlement'
b'the world trade organization -lrb- wto -rrb- circulated to its members on tuesday compromise proposals on agriculture trade and industrial market access as a last attempt to save the long-stalled doha round free trade talks .',b'london key market information'
"b'twelve foreign tourists were wounded when a homemade bomb exploded outside a crowded city park in the maldives , a government official said .'",b'## tourists wounded in first-ever bomb blast in the maldives'
"b'some ### buddhist monks surrounded by a human chain of supporters began a protest march wednesday against the myanmar junta , after police earlier used batons to break up a crowd , witnesses said .'",b'### monks march despite myanmar crackdown'
"b'iran has begun installing #,### new centrifuges at its uranium enrichment plant in natanz , state television quoted president mahmoud ahmadinejad as saying tuesday .'","b'iran expands uranium enrichment program begins installing #,### new centrifuges'"
b'ukrainian president viktor yushchenko said friday he hoped forthcoming parliamentary elections would end the political crisis that has beset the country since the last vote in march #### .',"b""ukraine 's leader wants fresh start from elections"""
b'u.n. peacekeepers have again begun pushing into rebel-held areas of sierra leone to enforce a shaky peace accord and have been met with gunfire .',b'un troops rebels clash in s. leone'
b'the central committee of the communist party of china -lrb- cpc -rrb- issued a circular today calling for further study of deng xiaoping theory by all party members .',b'circular calls for study of deng xiaoping theory'
"b'turkish security forces seized over ### kg of hashish in two counter-narcotics operations in turkey on friday , the semi-official anatolia news agency reported .'",b'over ### kg of hashish seized in turkey'
"b""taiwan 's export orders in february contracted by ##.## percent compared with the same month of last year , marking the fifth consecutive month in which a year-on - year drop has been recorded , according to statistics released tuesday by the ministry of economic affairs -lrb- moea -rrb- .""",b'decline in export orders narrows in february'
"b'local and municipal elections in benin passed off without evidence of fraud but with some functional problems , the head of a regional observer team said wednesday .'",b'monitors clear benin local elections'
b'kathleen merten believes her career offers her `` unlimited potential .',b'career in real estate business proves to be enticing'
"b""tunisia 's ministry of sport and youth asked on friday to point a new technical staff managing the national soccer team following the surprisingly last saturday defeat , the ministry said .""",b'tunisia needs new technical soccer staff'
"b""retro rock group franz ferdinand received five nominations monday for britain 's music awards .""",b'rock group franz ferdinand tops brit awards nominations'
"b""palestinian un observer riyad mansour denounced on thursday the latest israel 's offensive in gaza as `` state terrorism , '' and urged the un security council to blame israel .""",b'palestinians denounces israeli attacks as state terrorism'
"b""pope benedict xvi sought to assuage the grief of italy 's earthquake survivors during his easter blessing , as christians across the world celebrated the resurrection of jesus christ .""",b'pope leads christian prayers as world celebrates easter'
"b'the federal reserve , and central banks in europe , canada and asia , pumped as much as $ ### billion into money markets on thursday to combat shock waves from the worst financial upheaval since the great depression of the ####s .'",b'central banks move to boost global confidence'
"b'foreign direct investment -lrb- fdi -rrb- in china for the first five months of the year rose a better-than-expected ##.## percent from #### despite the sars virus , official data showed thursday .'",b'overseas investment growth in china surprises despite sars'
"b""old-growth hemlock and spruce trees , enough to build a suburban subdivision with ## homes , have been clear-cut and left to rot here at the northern end of the nation 's largest national forest .""",b'forest reopened for lumber stirs debate in alaska'
"b""a group of sunni muslim clerics from iraq has wrapped up a #-day meeting in damascus , calling on iraqis to support `` resistance '' against u.s. troops .""",b'iraqi sunni clerical group meets in syria calls for supporting resistance'
"b'a businessman believed to have lost heavily in the stock market was found hanged in a restaurant toilet , police said thursday .'","b""stock market plunge triggers merchant 's suicide"""
b'lee stevens homered twice and had a career-high six rbis while javier vazquez pitched seven shutout innings as the montreal expos romped to a ##-# win over the new york mets saturday .',b'expos ## mets #'
"b'sri lanka has become a major international transit point in the drug trade , according to police sources here friday .'",b'sri lanka international point for drug trafficking'
"b""britain 's millionaires are getting younger , richer and quicker at amassing their wealth than ever before , according to an annual survey of the nation 's richest #,### .""","b""britain 's millionaires getting younger and getting rich faster"""
"b""austria 's interior minister karl UNK called for tough gun laws today shortly after the country 's worst shooting incident in many years .""",b'austrian minister urges new gun laws after recent violence'
"b'a two-week crackdown across the united states resulted in the arrest of ### suspected street gang members , authorities announced in miami monday .'",b'massive us crackdown nets ### suspected violent gang members'
"b'peruvian president alberto fujimori visited hiroshima saturday and offered a prayer for those killed by the us atomic bomb dropped on the western japanese city ## years ago , officials said .'",b'peruvian president prays for a-bomb victims in hiroshima'
b'the indian cricket board said on tuesday it has given an amnesty to ## players who want to sever their ties with the unofficial twenty## indian cricket league and return to mainstream competition .',b'indian board grants amnesty to ## rebel players'
"b""a team of world health organization -lrb- who -rrb- experts has arrived in uganda with eight boxes of protective gears to tame the deadly ebola epidemic in northern uganda , reported the country 's new vision newspaper wednesday .""",b'who team in uganda to combat ebola'
"b'even before it was built , the new school that the houston independent school district designed in partnership with rice university was the envy of the educational community .'",b'university helps school district create an extraordinary campus'
"b'the u.s. trade office rapped the chinese government in a report wednesday for imposing procurement and import restrictions that harm american companies , while steering clear of the debate over currency policy .'","b""u.s. trade office targets china 's procurement policy"""
b'an international sailing official is unhappy that atlanta olympic organizers will house race officials in a savannah dormitory during the #### summer games .',b'international sailing official upset over olympic housing plans'
"b""cyprus issued a strong protest on wednesday over turkish president abdullah gul 's `` illegal '' visit to the turkish-occupied north and his comments about a religious divide on the island .""",b'cyprus protests over gul visit to north'
"b'postal services in the chinese capital did ### million yuan -lrb- about ## million us dollars -rrb- worth of business in #### , up ##.## percent from #### .'",b'beijing offers better postal services'
"b'with a quiet nod to the judge , michael jackson pleaded not guilty friday to charges of child molestation and conspiracy involving child abduction and extortion .'",b'michael jackson indicted on counts including molestation conspiracy ; pleads not guilty'
"b""dressed in black and shouting `` down with UNK , '' some #,### hungarian rightists demonstrated here today to mark the ##th anniversary of the UNK treaties that reduced the country to one third of its former size .""",b'hungarian rightists mark UNK treaties'
"b""british culture secretary tessa jowell said thursday there were `` no grounds '' for compensating english cricket 's governing body if the team boycotts a world cup match in zimbabwe next month .""",b'culture secretary says no grounds for compensation if england boycotts world cup in zimbabwe'
"b""sao tome and principe 's political parties and civil society leaders have almost unanimously expressed their backing for a cabinet reshuffle , rather than early elections , as the best way to resolve a government crisis provoked by allegations of widespread corruption , according to reports reaching here on friday .""",b'sao tome president winds up consultations on govt'
"b""the worst eight teams in baseball would be able to select players from the top eight in a new `` competitive balance draft '' proposed by commissioner bud selig .""",b'new baseball draft proposed'
b'grenadian prime minister tillman thomas will pay an official visit to china from june ## to ## at the invitation of chinese premier wen jiabao .',b'grenadian pm to visit china'
"b'hong kong stocks plunged ###.## points , or #.## percent , to close at ##,###.## friday .'",b'hong kong stocks close lower'
"b""us stocks opened down on wednesday following other global indices ' concerns about new german rules to curb market speculation .""",b'us stocks down as germany rules roil investors'
"b""the european union agreed on tuesday to enhance india 's quota for textiles and clothing export and promised more flexibility with binding tariffs being met by new delhi .""","b""eu agrees to raise india 's textile export quota"""
"b""with nearly ##,### fans providing a hero 's welcome to its newest signing , thierry henry already looked at home on the nou camp turf in his no. ## fc barcelona jersey .""",b'thierry henry overwhelmed after completing move to barcelona'
b'the torch that will burn beginning august ## at the paralympic games was received at the white house tuesday during a solemn ceremony and then sent on its way to atlanta .',b'flame for paralympic games leaves from white house to atlanta'
b'french prime minister jean-pierre raffarin said wednesday that the euro-zone pact of stability should not be put into question though european finance ministers allowed france and germany to break the budget rules .',b'eu stability pact should not be put into question says france'
"b'germany will give major support to the economic construction of the new south africa , german foreign minister klaus kinkel told visiting south african vice-president thabo mbeki here today .'",b'germany pledges economic support for south africa'
b'the top u.s. nuclear negotiator says he has advised other key countries about progress he has made in nuclear talks with north korea .',b'us says it has advised key countries of progress in north korea talks'
"b""china 's securities investment fund market continued to rise steadily today .""","b""china 's fund market rises"""
"b'new york state tax officials said that the yankees star derek jeter claimed he lived in florida to avoid new york taxes for several years , when he was actually living in a deluxe apartment in the trump world tower , according to documents filed last week with an administrative law judge .'",b'yankee star in dispute over taxes jay schreiber contributed reporting'
b'rain in the midwest sent corn and soybean futures modestly lower thursday on the chicago board of trade .',b'corn soybeans retreat on rains'
"b""sympathetic admirers may be hiding jamil abdullah al-amin , the ####s black panther activist wanted for allegedly killing one sheriff 's deputy and wounding another , authorities said saturday .""",b'ex-black panther eludes police'
"b""us military jurors are to resume deliberations on wednesday in the trial against osama bin laden 's driver , even though defense lawyers and rights advocates have dismissed the `` war on terror '' tribunal system as fundamentally unfair .""","b""as jury meets hamdan 's lawyers dismiss us terror trial as unfair"""
"b'by setting up an organization in new york state to explore a white house run -- but not creating a candidate committee with the federal election commission -- former mayor rudolph w. giuliani is buying himself more time to make a decision , although he will face significant restrictions in raising money , according to several election and campaign experts .'","b""with group exploring '## bid giuliani buys himself time"""
"b'cocaine corruption , once thought to be a problem limited to latin america and the caribbean , has established a growing beachhead on the u.s. side of the border with mexico .'",b'cocaine corruption spreads from mexico into u.s. border staffs'
"b""hong kong 's chief justice resigned friday after announcing his decision to run as the territory 's first chief executive after the handover to china in #### , a government spokesman said .""",b'hong kong chief justice resigns to run for post-#### chief'
"b""ghanaian president jerry rawlings said yesterday that the decision to recall the UNK UNK `` bulk challenge '' was a painful one for his government given the social cost of keeping liberian refugees in his country .""",b'recall of refugee ship painful says ghanian'
"b'german energy and water group rwe has sold its stake in swiss holding firm UNK and swiss electricty company UNK to swiss bank ubs , the german energy group said monday .'",b'rwe sells swiss energy holdings to ubs for UNK'
"b""the dutch retailer ahold n.v. said saturday it will sell its argentine grocery chain disco s.a. to chile 's UNK s.a. for $ ### million -lrb- eur ###.# million -rrb- .""","b""ahold to sell argentine operations to chile 's UNK for $ ### million"""
"b'the state supreme judicial court , whose chief justice has harshly criticized mandatory sentences , thursday said that the one-year mandatory sentence for illegal gun possession can not be reduced by lower court judges .'",b'high court rules UNK gun sentence can not be shortened'
"b'angolan president jose eduardo dos santos will travel to moscow later this month for talks with his russian counterpart vladimir putin , his office announced wednesday .'",b'angolan president set for moscow visit'
"b""u.s. monitors of north korea 's nuclear program left the communist nation friday after the regime ordered them out and vowed to restart its reactor in anger over u.n. criticism of its recent rocket launch .""",b'us nuclear experts depart north korea'
"b""some #,### white zimbabweans who had been struck off the electoral register ahead of this weekend 's landmark presidential vote , on wednesday asked a court in bulawayo to restore their right to vote .""",b'white zimbabweans demand right to vote in court case'
"b""colombia 's drug traffickers are moving tonnes of cocaine to the united states underwater -- in `` UNK '' or homemade submarines that travel just below the surface of the ocean .""",b'drug traffickers sink to success'
"b""the bush administration praised sunday 's withdrawal of israeli armor and soldiers from palestinian authority headquarters and urged both sides in the middle east conflict to work toward peace .""",b'white house pleased with israeli withdrawal urges both sides to work toward peace with bc-israel-palestinians'
"b'irish police have burned a haul of cannabis with an estimated street value of ### million punts -lrb- ### billion dollars -rrb- in the furnaces of a power station , they announced here thursday .'",b'two hundred million dollar drug haul goes up in smoke'
"b""a lawyer for former president joseph estrada was forced out of a courtroom thursday for allegedly trying to delay next month 's start of the ousted ruler 's corruption trial .""",b'estrada lawyer forced out of court for allegedly trying to delay oct. # start of trial'
"b'in remarkably conciliatory remarks toward israel , president hosni mubarak on thursday urged palestinians to work with prime minister ariel sharon as their best hope to achieve peace and also urged them to curb the violence that has marked the struggle to end the occupation .'",b'mubarak urges palestinians to work with sharon'
"b'imperial tobacco group plc said thursday it has agreed to buy commonwealth brands from houchens industries inc. for us$ #.# billion -lrb- euro# .## billion -rrb- , making it the first european cigarette company to enter the united states in a decade .'",b'imperial tobacco buys UNK inc. for us$ #.# billion'
b'tunisia coach roger lemerre announced a preliminary squad of ## players on monday for the african nations cup finals .',b'tunisia names preliminary squad for african nations cup'
"b""prime minister tony blair 's government on sunday denied it had been forced to water down its proposals to tackle illegal immigration and said the european union summit in seville had been a success .""",b'government denies claims it was forced to back down at seville'
b'the mexican government is questioning the methods investigators used in charging the driver of the bus that caught fire while carrying elderly patients fleeing hurricane rita .',b'mexican consulate questions charges against driver in bus fire during rita evacuation'
"b""the guatemalan government on monday condemned attacks on guatemalan journalists by honduran police and the interim honduran government 's closure of a radio station and a tv channel , local media reported .""",b'guatemala condemns attacks on journalists in honduras'
"b'the UNK kenya airways -lrb- ka -rrb- has registered record profits during the financial year to march ## , the airline said in a statement released here wednesday .'",b'kenya airways announces record profits for year ending march'
"b'two months after the united states declared the war in iraq effectively over , top civil administrator paul bremer said tuesday that UNK was on target , despite the slow return of basic services .'",b'two months on bremer insists iraq rebuilding is on target'
b'the dutch defense ministry says one of its frigates and the u.s. coast guard have seized ### kilograms -lrb- ### pounds -rrb- of cocaine from a small boat in the caribbean .',b'dutch seize ### kilograms of cocaine in caribbean'
b'former mexican president vicente fox on tuesday denied allegations that he amassed illegal wealth during his presidency .',b'former mexican president denies corruption allegation'
"b'australian shares surged #.# percent in early trade wednesday after the us federal reserve announced a plan overnight to help troubled financial markets , dealers said .'",b'australian shares surge #.# percent'
"b""alcoa inc. will acquire UNK air metal 's hard alloy extrusion business located in UNK , korea , the company announced tuesday .""",b'alcoa to acquire korean alloy'
"b'london , where seven iraqi hijackers of a sudanese airliner chose to seek asylum on tuesday , is a haven for members of the iraqi opposition of all stripes .'",b'london is center for iraqi opposition'
b'about ### students of the international islamic university -lrb- UNK -rrb- in islamabad today staged a demonstration against the remarks made by pakistani interior minister UNK babar .',b'university students hold demonstration in islamabad'
"b'the average cost of a gallon of self-serve regular gasoline increased #.# cents nationally to $ #.### , led by the midwest states , which saw a #.#-cent jump .'",b'gasoline prices continue slow climb'
b'slovenia appealed to pakistan on monday to help rescue a slovene mountain climber trapped on a peak in the himalayas .',b'slovenia asks pakistan to help rescue climber stranded on himalayas'
b'the spanish government handed humanitarian aid worth over ##.# million u.s. dollars to world food program -lrb- wfp -rrb- for ethiopia at a ceremony held in adama town of oromia state thursday .',b'spain donates humanitarian aid worth ##.# mln usd to ethiopia'
"b'a former executive with continental medical systems inc. agreed to settle charges connected with trading in stock of the company before its acquisition by horizon healthcare inc. in #### , according to a regulatory filing .'",b'UNK medical executive agrees to settle sec charges'
"b""peruvian president alejandro toledo on wednesday conditioned his country 's military spending cut on a regional agreement , ruling out that peru would make a unilateral decision .""",b'peru conditions defense spending cut on regional accord'
b'negotiators are trying to put more consumer benefits into the proposed merger of northeast utilities and consolidated edison inc. so the deal will look sweeter to connecticut regulators .',b'nu coned negotiate consumer benefits of merger'
"b'the united nations said monday that ### of its peacekeepers died in #### , almost half the number of casualties registered in #### .'",b'fewer deaths among un blue helmets in ####'
"b'the malaysian navy intercepted and boarded a taiwanese fishing vessel which had been seized in a mutiny by chinese crew members who locked up the captain and other taiwanese sailors , officials said monday .'",b'malaysia intercepts taiwanese fishing boat after mutiny'
"b""ati technologies inc. 's fiscal fourth-quarter earnings soared ## percent , as expected , because of higher sales of components that enhance the displays of computers .""",b'ati technologies #th-qtr profit soars ## % on higher sales'
"b""the commander of the u.s. military 's computer operations says the government should create a `` secure zone '' for federal agencies , financial network and critical infrastructure .""",b'secure zone suggested to counter computer threat'
"b'president mahmoud ahmadinejad fired foreign minister manouchehr mottaki on monday and replaced him with his atomic chief , in an apparent falling out over policy as iran holds talks with world powers over its nuclear program .'",b'iranian president fires fm mottaki'
"b""the most insightful contribution of the kansas city star series about legalized gambling 's rising prominence in the local economy was its challenge to the fiction that the gaming industry has no redeeming economic value .""",b'casinos deserve more praise for their economic benefits less'
"b""john starks was hospitalized tuesday and missed game # of utah 's first-round playoff series against dallas after undergoing what the team called `` a minor medical procedure '' for recent groin pain .""","b""utah 's starks still has pain"""
"b""sbc communications on sunday night was close to concluding a $ ## billion deal for its former parent , at&amp;t , that would lead to the virtual disappearance of one of america 's best known corporate icons and set off what promises to be a new round of competition between the baby bells , executives close to the negotiations said .""",b'sbc a baby bell swallows its parent in deal for at&amp;t'
"b""a total of ## zimbabweans died and ### others were injured in road accidents countrywide during the easter and independence day holidays , the country 's official news paper the herald reported on friday .""",b'road accidents in holidays kill ## zimbabweans'
"b""venezuelan president hugo chavez lashed out at germany 's chancellor , suggesting that her party shares the political ideals of adolf hitler .""",b'venezuela s chavez lashes out at germany s merkel suggests ideological link to hitler'
"b'inter milan took over sole possession of third place in serie a after beating fiorentina #-# sunday , but the team may have lost brazilian striker adriano to injury .'",b'inter beats fiorentina #-# in serie a but adriano injured'
b'the bush administration will reduce by nearly half a proposed $ ## million -lrb- euro## .# million -rrb- security aid package to the palestinian government to ensure that none of the money ends up with forces loyal to the radical hamas movement .',b'u.s. to slash palestinian security aid package over hamas concerns'
"b""there are few activities sanford i. weill , chairman and chief executive of citigroup , likes better than watching his company 's stock price .""","b""with dad looking on ipo proves successful for weill 's daughter"""
b'senator hillary clinton on friday vowed to end the iraq war if she is elected president in #### and the war is still raging when she moves into the white house .',b'hillary clinton vows to end iraq war'
"b'a member of the congressional delegation examining army sexual assault cases said she is outraged at the leniency given hundreds of soldiers accused of rape and other serious sex offenses , and wants changes in the system that allowed it to happen .'",b'congresswoman wants hearings into leniency for accused army sex'
"b'heavy rain tapered off , skies cleared and residents of the los angeles area foothills started returning home sunday , a day after they fled because of fears that heavy rains would cause mudslides .'",b'calif. rains ending residents can return to homes'
"b""indian prime minister manmohan singh defended a civilian nuclear deal with the united states to parliament monday ahead of a visit by the us president , saying it would not compromise the country 's atomic weapons program .""",b'indian pm defends civilian nuclear deal with us'
"b""the philippine president warned terrorists friday her government will `` wrestle them to the ground '' with a much criticized anti-terror law she said will be used to defeat `` an ideology of evil .""",b'philippines vows to step up anti-terrorist campaign with new tough law'
"b""a georgian nationalist group protesting moscow 's war in chechnya attacked the russian military headquarters in downtown tbilisi on thursday , accidentally killing a georgian soldier .""",b'nationalist group attacks russian military headquarters'
