document,summary,,,,,,,,,,,,,,,,,
"Jason Woodward's try put them ahead but Josh Bassett, Tommy Taylor and Joe Simpson scored as Wasps went in ahead.
Christian Wade, Guy Thompson and Bassett went over for the visitors for a bonus point, which deflated Bristol.
The hosts rallied, Jack O'Connell and Nick Fenton-Wells touching down, but it could not stop them from going down.
Having finished top of the Championship in five seasons before finally winning promotion in the play-offs last year, Bristol will return to the second-tier at the first time of asking.
After Worcester's win over Bath on Saturday, Mark Tainton's Bristol needed two points from the game to prolong their relegation battle, but they lacked a clinical streak.
It leaves them 12 points adrift at the bottom of the table, with a maximum of 10 points on offer from their final two matches.
Wasps were far from at their best, on the back foot for much of the game, but have restored their five-point lead at the top and need one win from their last two to secure a home semi-final in the play-offs.
The Premiership's top try-scorer Wade, on his 100th appearance for Dai Young's side, did his England hopes no harm with his 16th score of the campaign.
Bristol were promoted to the top tier on 25 May after winning their two-legged play-off final, with the Premiership season starting just 100 days later.
Director of rugby Andy Robinson, a former England head coach, was sacked in November after his side lost their first 10 games of the campaign.
Tainton took interim charge and Bristol finally got their first league win against Worcester on Boxing Day, following it up with victory at Sale and a losing bonus point at Northampton, but it was a false dawn.
The scrapping of the Championship play-offs, meaning the team that finishes top will gain automatic promotion, may give Bristol more time to plan ahead next season if they are successful.
Connacht boss Pat Lam will have the task of bringing Bristol back into the Premiership, having signed a three-year deal in December to become head coach from June.
Tainton will remain at the helm for their final two matches at Saracens and at home to Newcastle, and remains optimistic about the future of the club.
""Obviously it's disappointing to get relegated, but we've put a plan in place whether we were going to stay in the Premiership or get relegated,"" he said.
""We have the infrastructure at Ashton Gate to be a Premiership team - we're not going to be next year, but hopefully the supporters will still watch us in that league.
""Bristol more than most know what a difficult league it (the Championship) is, but hopefully we can bounce back very quickly.""
Bristol interim head coach Mark Tainton:
""It was a similar story to a lot of games - we've created an awful lot, we've been in the opposition 22 many times but we've just not executed and got across the line.
""We give Wasps an opportunity and they score tries, it's as simple as that - that's the difference in the level we need to get to.
""We were down and beaten in the second half but we played right until the very end of the game - I expect that from them in the next two games.""
Wasps director of rugby Dai Young:
""Obviously there are still things to work on, especially our starts - I thought our first 10 minutes, again, we made far too many mistakes and gave ourselves a bit of a hill to climb.
""We just had enough to do it but we make it hard for us really - there's room to improve in every area, but I'm pretty pleased and felt we looked in control for most of the game.
""It's up to us to nail it (a top-two finish) ourselves - we're not relying on other people.""
Bristol: Woodward; Edwards, Hurrell, Henson, Tovey; Searle, Mathewson; Bevington, Jones (capt), Cortes, Phillips, Sorenson, Jeffries, Fenton-Wells, Eadie.
Replacements: Crumpton, O'Connell, Ford-Robinson, Glynn, Robinson, Williams, Pisi, Amesbury.
Wasps: Le Roux; Wade, Daly, Beale, Bassett; Gopperth, Simpson; Mullan, Taylor, Swainston, Launchbury (capt), Symons, Haskell, Thompson, Hughes.
Replacements: Cruse, Bristow, Cooper-Woolley, Myall, Young, Robson, Cipriani, Leiua.
For the latest rugby union news follow @bbcrugbyunion on Twitter.",Bristol have been relegated to the Championship with two games left to play after a brave defeat by ruthless Premiership leaders Wasps.,,,,,,,,,,,,,,,,,
"Virginia Raggi said more arrivals could exacerbate social tension.
Her call follows local elections on Sunday in which the Five Star Movement performed poorly.
More than 500,000 people have arrived by boat since 2014. Nearly 200,000 are being housed in  centres across the country.
""We cannot permit the creation of more social tensions,"" Ms Raggi said on Facebook.
""That is why I am saying it is impossible, risky even, to think about creating any new reception structures.""
The interior ministry has asked all Italian municipalities to find space for an expected 250,000 new migrants this year, up from about 180,000 last year.
Some observers say Ms Raggi is attempting to win back support by targeting migrants after her party failed to make the run-off in 24 of the main 25 cities choosing a new mayor.
About half of Italians do not want the country to take in more people, pollster Renato Mannheimer told Reuters news agency.
Italy is accommodating rising numbers of migrants because countries to the north have tightened their borders and some EU states have refused to take part in a plan to relocate 160,000 people from Italy and Greece.
Just over 20,000 migrants have so far been relocated under the plan and the EU has begun legal action against against Poland, Hungary and the Czech Republic for refusing to accept refugees.
An estimated 40% of the migrants in Italy have a valid claim to asylum or leave to remain on humanitarian grounds, AFP news agency reported.
The others are deemed to be illegal economic migrants and face deportation, but this can be difficult to arrange in practice because their countries of origin sometimes refuse to take them back.
A note on terminology: The BBC uses the term migrant to refer to all people on the move who have yet to complete the legal process of claiming asylum. This group includes people fleeing war-torn countries such as Syria, who are likely to be granted refugee status, as well as people who are seeking jobs and better lives, who governments are likely to rule are economic migrants.","The mayor of Rome, who is from the anti-establishment Five Star Movement, has asked Italy's government not to send more migrants to the city.",,,,,,,,,,,,,,,,,
"South Sudan's defensive tactics paid dividends as they held on for a point.
After beating Djibouti 2-0 in their opening Group C game on Monday it puts South Sudan in line to qualify for the quarter-finals of the tournament.
""We are happy that we have picked a point against a strong Sudan side,"" said South Sudan's goalkeeper Juma Ginaro after the game.
""We now wait to face Malawi in our last group game.""
The draw leaves Sudan in third place behind their neighbours with just a single point so far after they lost 2-1 to Malawi in their first match.
Guest team Malawi top the group and have qualified for the last eight after brushing aside Djibouti 3-0.
Yaboh Idriss Moussa missed several chances for Djibouti before Gerald Phiri converted a penalty for Malawi and John Banda and Chiukepo Msowoya secured the victory.
In the other games played on Wednesday defending champions Kenya and Burundi settled for a 1-1 all draw.
While hosts Ethiopia recovered from their loss in the opening match to Rwanda to beat Somalia 2-0 in front of a capacity crowd.",The first ever game between South Sudan and Sudan ended goalless at the Cecafa Senior Challenge Cup in Ethiopia.,,,,,,,,,,,,,,,,,
"The Direct Energie rider took advantage of a lapse in concentration from Team Sky's Nicolas Roche to beat the Irishman in a sprint finish.
Roche was also second in the overall standings, six seconds behind Voeckler.
Bury's Adam Yates (Orica) was Britain's highest finisher, as he was third in the stage and fourth overall.
Sunday's final stage, a 198km route from Middlesbrough to Scarborough, contained six categorised climbs.
Team Sky set a punishing pace in wet and gruelling conditions after taking it on at half distance and with 44km to go they had five riders at the head of the leading group.
Roche attacked on the ascent at Harwood Dale and took with them Voeckler, Yates, Anthony Turgis (Cofidis) and Steven Kruijswijk (LottoNL).
It was Voeckler who clung on the to back of Roche as the Team Sky sprinter attacked again in the descent into Scarborough.
Voeckler, who finished third last year after missing out in a sprint finish, used that experience to employ some cat and mouse tactics, as he tracked Roche along the resort's seafront in front of huge crowds on the town's famous grass banks.
Roche suffered a momentary lapse in concentration, causing him to look the wrong way as Voeckler flew past him with the finishing line in sight to leave his rival in his wake.
Voeckler told ITV4: ""It wasn't just with the strength in my legs that I used, but also my head.
""It was difficult to follow the attack of Team Sky at the climbs, so I decided on a little more patience.
""Then I knew to launch the sprint at 300 metres. Although it was early, with the wind at my back, it was not so bad.""
And in a tribute to the Yorkshire public that came out in huge numbers despite persistent drizzle, he added: ""I feel like this is home because the crowd were shouting my name.""
The Tour de Yorkshire is a legacy of the county's hosting of 2014 Tour de France's Grand Depart. More than two million people are estimated to have lined the three-day route.",Frenchman Thomas Voeckler clinched overall victory in the Tour de Yorkshire by winning the third and final stage at Scarborough.,,,,,,,,,,,,,,,,,
"The hosts almost caught Torquay napping with a simple ball over the top in the first minute, but Woking loanee Delano Sam-Yorke was unable to get his shot on target.
Maidstone continued to force the issue, with Nana Ofori-Twumasi and Jamar Loza also going close before the break, and they got their rewards when Loza found Sam-Yorke in space to fire home from 10 yards in the 53rd minute.
Substitute Brett Williams briefly levelled things up for Torquay after 63 minutes, but Jack Paxman sealed the win which took Maidstone out of the drop zone six minutes later.
Report supplied by the Press Association
Match ends, Maidstone United 2, Torquay United 1.
Second Half ends, Maidstone United 2, Torquay United 1.
Substitution, Maidstone United. James Rogers replaces Jack Paxman.
Seth Nana Ofori-Twumasi (Maidstone United) is shown the yellow card.
Substitution, Torquay United. Sam Chaney replaces Ben Gerring.
Substitution, Maidstone United. Alex Flisher replaces Jamar Loza.
Goal!  Maidstone United 2, Torquay United 1. Jack Paxman (Maidstone United).
Goal!  Maidstone United 1, Torquay United 1. Brett Williams (Torquay United).
Substitution, Torquay United. Jamie Reid replaces Luke Young.
Substitution, Torquay United. Brett Williams replaces Shaun Harrad.
Goal!  Maidstone United 1, Torquay United 0. Delano Sam-Yorke (Maidstone United).
Second Half begins Maidstone United 0, Torquay United 0.
First Half ends, Maidstone United 0, Torquay United 0.
First Half begins.
Lineups are announced and players are warming up.",Maidstone ended a run of five National League games without a win by beating Torquay 2-1 at the Gallagher Stadium.,,,,,,,,,,,,,,,,,
"Research from the Institute for Policy Studies found that in 2014, bonuses paid to Wall Street employees had been double the annual pay earned by all Americans who worked full-time at the federal minimum wage.
So, 167,800 Wall Street employees were paid $28.5bn (£18.2bn) in bonuses, while 1,007,000 full-time minimum wage earners made about $14bn.
One particularly eye-catching blog on the subject carried the headline: ""If You Own a Pitchfork, You Will Grab It When You See This Chart"".
I wondered if this statistic was also true in the UK.
The best proxy we have for the Wall Street bonus pool is the ONS figure for bonuses paid in the finance and insurance sector, the most recent figure for which was £14.4bn in the financial year 2013-14.
The Low Pay Commission says that excluding apprenticeships there were 1.3 million jobs in 2014 that paid the National Minimum Wage (NMW) of which 40% were full-time, so that's about 520,000 jobs.
Assuming everyone earned the highest level of minimum wage, the average level of the NMW for 2013-14 was £6.25.
If we assume that they worked 37.5 hours a week (that's the average number of full-time hours given in the Annual Survey of Hours and Earnings for 2014) and that they work 48 weeks a year, their total earnings come to £5.9bn, which is less than half the amount paid in bonuses by the finance and insurance sector - it's about 40%.
Before you go and buy a pitchfork, remember that there are differences between this figure and the US one. For example, the bonuses in the UK finance and insurance sector were shared between more than a million employees - considerably more than on Wall Street. There were people paid very high bonuses but also people paid much more modest ones. The average overall was £13,300, but I would expect that to mask quite a range.
But the other question is, what is this an indicator for and what would make it rise or fall?
So, for example, imagine that 100,000 people earning minimum wage suddenly received a pay rise of £1 an hour. They would no longer be earning minimum wage, so the total amount paid to workers on the minimum wage would fall considerably and as a result the amount paid out in bonuses would be a higher multiple of it. But it would be hard to argue that their pay rise had increased inequality.
Nonetheless, if you were outraged by the figure from the US then you will be just as outraged that the same appears to be true in the UK.",A statistic in March provoked outrage in the US media about inequality.,,,,,,,,,,,,,,,,,
"The force said mental health issues resulted in 141,230 lost days among front-line officers.
The Liberal Democrats said the figures showed evidence of a force ""being stretched to breaking point"".
The Scottish government said the welfare of officers and support staff was taken ""very seriously"".
Police Scotland released the figures to the Lib Dems under Freedom of Information laws.
The party's justice spokesman Liam McArthur said police officers and civilian staff were not getting the support they needed from the Scottish government.
He said: ""The savings that were promised by the SNP before the creation of Police Scotland have not materialised.
""As a result, officers and civilian staff are being asked to do more and more with less. With the chief constable warning that further cuts are coming, the pressure on staff is only likely to get worse.""
He added: ""We have already seen staff surveys which show morale is at rock bottom. The shortages are affecting the health of officers and civilian staff and these new figures are a huge concern.
""Policing is a high-stress profession at the best of times. The changes that the SNP forced through are stretching the mental health of officers and civilian staff to breaking point.
""This means giving police management the freedom to put resources where they are needed.
""Extra money is also required to plug the hole in the national force's budget and avert the loss of staff which would only put those remaining further under the cosh.""
A Scottish government spokesman said Police Scotland would be expected to have ""robust policies"" in place to support staff and manage their health at work.
The spokesman added: ""They have a number of targeted activities to support wellbeing and occupational health across the organisation.
""We have committed to protecting the police revenue budget in real terms, safeguarding policing from Westminster budget cuts and delivering an additional Â£100m of investment by the end of this parliament, in addition to Â£55m of reform funding in 2016-17.""
A Scottish Police Authority (SPA) spokeswoman said: ""The SPA recognise and value the contribution of our workforce. We regularly scrutinise absence levels to ensure they are effectively monitored and managed.
""We also ensure all officers and staff have access to a range of support options, including an appropriate independent occupational health service which can be tailored to individual needs.
""As a responsible employer, we have placed major importance and priority on listening to the police workforce and acting on the issues raised.""","Police Scotland officers and staff suffering psychological problems took nearly 200,000 sick days over the last three years, new figures show.",,,,,,,,,,,,,,,,,
"Current Yes keyboardist Geoff Downes tweeted: ""Utterly devastated beyond words to have to report the sad news of the passing of my dear friend, bandmate and inspiration Chris Squire.""
Squire had revealed he was suffering from a rare form of leukaemia.
The band said he died ""peacefully"" in Phoenix, Arizona, on Saturday night.
""It's with the heaviest of hearts and unbearable sadness that we must inform you of the passing of our dear friend and Yes co-founder, Chris Squire,"" a statement on the band's official Facebook page said.
Squire had revealed in May that he had been recently diagnosed with acute erythroid leukemia, which would force him to miss the band's summer co-headlining tour with Toto.
Yes were formed in 1968 when singer Jon Anderson met self-taught bassist Squire in London.
Their big break came a year later when they signed to Atlantic Records after opening for Janis Joplin at London's Royal Albert Hall. Their debut single, Sweetness, and first album, Yes, were released later that year.
Other albums included 1971's Fragile, 1972's Close To The Edge and 1977's Going For The One.
In 1983 they released the album 90125, which featured their classic hit Owner Of A Lonely Heart. That went on to become a US number one hit in January 1984 despite only reaching number 28 in their home country.
Squire also released a solo album, Fish Out Of Water, in 1975.
The group's most recent studio album, Heaven & Earth, came out last year.
Squire, who was born in Kingsbury, north-west London, was the only member of the group to feature on every studio album.
Musicians and fans took to Twitter and Facebook to pay tribute to Squire.
John Petrucci, founding member and guitarist for American progressive metal band Dream Theater, tweeted: ""Thank you for all of the amazing music Chris Squire. You will surely be missed.""
Rage Against the Machine guitarist Tom Morello tweeted: ""RIP Chris Squire, super bassist of Yes. An extremely talented musician's musician who mastered his instrument and took it to new realms.""
American rock guitarist Joe Satriani posted: ""R.I.P. and thank you Chris Squire. #ChrisSquire,#yes""
The band posted on their official website to say they would have more information for fans soon, adding: ""Thank you for all your heartfelt tributes on Facebook and Twitter.""","Chris Squire, the bass guitarist and co-founder of 1970s British progressive rock band Yes, has died at the age of 67, his bandmates have said.",,,,,,,,,,,,,,,,,
"The Blues, who had keeper Thibaut Courtois sent off, were down to nine men for a period after staff ran on to treat Hazard following a trip, despite him not appearing to be badly injured.
If a player receives treatment, they must leave the field.
""I was unhappy with my medical staff. They were impulsive and naive,"" Mourinho told Sky Sports.
""Whether you are a kit man, doctor or secretary on the bench you have to understand the game.
""You have to know you have one player less and to assist a player you must be sure he has a serious problem. I was sure Eden did not have a serious problem. He had a knock. He was tired.""
Chelsea were already struggling to cope against Swansea's extra man before Hazard was tripped by Gylfi Sigurdsson with six minutes remaining, leading to Mourinho's frustration.
It was an eventful match for Premier League champions Chelsea. Courtois suffered an injury scare in the warm-up before he was was dismissed in the 52nd minute after bringing down Swansea striker Bafetimbi Gomis.
Replacement goalkeeper Asmir Begovic came on for his debut after an £8m move from Stoke, with opening goalscorer Oscar making way. Gomis scored the resulting penalty.
""I don't want to talk about it,"" Mourinho said of the referee's decision.
After Oscar's opener, Andre Ayew equalised on his Swansea debut but the visitors only held on for 95 seconds before Federico Fernandez scored an unfortunate own goal to gift Chelsea a 2-1 lead.
Following defeat by Arsenal in last Sunday's Community Shield, Chelsea again looked rusty, having returned from a pre-season tour of North America where they travelled 9,800 miles.
Mourinho said: ""Swansea didn't have chances against 11 men. The team was playing very, very well in the first half.
""In one minute, it was a penalty, red card and the goal.
""If you have 10 men and are winning you can defend well and try to find a strategy but to play with 10 men and try to win the game is more difficult. I would say we were the best team with 11 players and with 10 we fought hard, some fighting at the limit of their condition.""
Chelsea travel to face Manchester City in their next game on Sunday, 16 August.","Chelsea boss Jose Mourinho criticised his ""naive"" medical staff for treating Eden Hazard in their draw with Swansea.",,,,,,,,,,,,,,,,,
"Last year, Beijing banned any more ""bizarre"" buildings. In recent years the country has seen buildings shaped like a teapot and another resembling a pair of trousers.
Now, China's State Administration for Industry and Commerce has continued the government's crusade for normalcy with restrictions on such names as 'scared of wife' or 'prehistoric powers'.
So, just how weird and wonderful are Chinese company names? Well, a few otherwise-unoccupied social media users in China have dug up some gems.
Some curiosities have crept into business names from internet memes.
""Shenyang Prehistoric Powers Hotel Management Limited Company"" might sound weird but less so to Chinese sports fans who remember swimmer Fu Yuanhui.
She famously won a bronze medal at the Rio Olympics, afterwards declaring: ""I have used all my prehistoric powers to swim!""
There are also lots of restaurants and cafes with the phrase ""skinny blue mushroom"".
The phrase originated from a meme which mocked a man from Guangxi province who uploaded a video of himself talking about his loneliness while his girlfriend was away.
""Unbearable, I want to cry,"" he moaned - but thanks to his accent, it ended up sounding more like ""skinny blue mushroom"".
One of the best known offbeat names on Chinese social media is a condom company called ""Uncle Niu"".
Or, more accurately, ""There Is a Group of Young People With Dreams, Who Believe They Can Make the Wonders of Life Under the Leadership of Uncle Niu Internet Technology Co Ltd.""
It's not concise, but at least it's positive.
Others aren't so upbeat, especially when it comes to home life.
And given ""Beijing Scared of Wife Technology Company"" and ""Anping County Scared of Wife Netting Products Factory"" are both registered companies, the trend doesn't seem to be limited by industry or region.
The rules of written Chinese are vastly different to those of written English, so many names seem far stranger in translation than in the original tongue.
English names can seem pretty strange in Chinese too, and there's a cottage industry among branding agencies to help western companies come up with names for the Chinese market.
Western company names often follow the name of their founder (think Boeing, Ford or Gucci), which might have no direct translation.
Or they might be a concocted portmanteau (think Verizon, which is the Latin word ""veritas"" meaning truth, with horizon bolted on to the end) or maybe even just tech nonsense (Etsy, Hulu).
""What we think is most important to come up with a name that captures the spirit of the brand,"" says Tait Lawton, from Nanjing Marketing Group, which provides naming services.
Western companies sometimes try to phonetically replicate the original, or come up with a Chinese name that's fairly neutral in meaning.
Others will come up with a new name that tries other ways of encapsulating the brand.
""BMW's current Chinese name is 宝马. It's great. The first character means 'treasure' and the second character means 'horse'. The sound is 'bao ma', starting with a B and M. Plus, it's short. It just has a great feel to it,"" says Mr Lawton.
He has a few other examples he likes too.
Pampers, for example, is 帮宝适 or ""bang bao shi"", which means ""helps make baby comfortable"".
Walch soap 威露士 or ""wei lu shi"" loosely translates as ""mighty liquid guard"", and who wouldn't want to wash with that?",China has banned companies from registering weird and long names.,,,,,,,,,,,,,,,,,
